occurrenceId,verbatimScientificName_(GRA),scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species_(GBIF),canonicalName,authorship,usageKey,acceptedUsageKey
,Tropidolaemus subannulatus,"Tropidolaemus subannulatus (Gray, 1842)",2443729,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Viperidae,Tropidolaemus,Tropidolaemus subannulatus,Tropidolaemus subannulatus,"(Gray, 1842) ",2443729,
,Tropidolaemus wagleri,"Tropidolaemus wagleri (Boie, 1827)",2443722,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Viperidae,Tropidolaemus,Tropidolaemus wagleri,Tropidolaemus wagleri,"(Boie, 1827) ",2443722,
,Tropidonophis aenigmaticus,"Tropidonophis aenigmaticus Malnate & Underwood, 1988",2453991,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidonophis,Tropidonophis aenigmaticus,Tropidonophis aenigmaticus,"Malnate & Underwood, 1988",2453991,
,Tropidonophis dahlii,"Tropidonophis dahlii (Werner, 1899)",2453957,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidonophis,Tropidonophis dahlii,Tropidonophis dahlii,"(Werner, 1899) ",2453957,
,Tropidonophis dendrophiops,"Tropidonophis dendrophiops (Günther, 1883)",2453993,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidonophis,Tropidonophis dendrophiops,Tropidonophis dendrophiops,"(Günther, 1883) ",2453993,
,Tropidonophis dolasii,"Tropidonophis dolasii Kraus & Allison, 2004",2453982,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidonophis,Tropidonophis dolasii,Tropidonophis dolasii,"Kraus & Allison, 2004",2453982,
,Tropidonophis doriae,"Tropidonophis doriae (Boulenger, 1897)",2453932,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidonophis,Tropidonophis doriae,Tropidonophis doriae,"(Boulenger, 1897) ",2453932,
,Tropidonophis elongatus,"Tropidonophis elongatus (Jan, 1865)",2453963,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidonophis,Tropidonophis elongatus,Tropidonophis elongatus,"(Jan, 1865) ",2453963,
,Tropidonophis halmahericus,"Tropidonophis halmahericus (Boettger, 1895)",2453995,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidonophis,Tropidonophis halmahericus,Tropidonophis halmahericus,"(Boettger, 1895) ",2453995,
,Tropidonophis hypomelas,"Tropidonophis hypomelas (Günther, 1877)",2453936,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidonophis,Tropidonophis hypomelas,Tropidonophis hypomelas,"(Günther, 1877) ",2453936,
,Tropidonophis mairii,"Tropidonophis mairii (Gray, 1841)",2453969,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidonophis,Tropidonophis mairii,Tropidonophis mairii,"(Gray, 1841) ",2453969,
,Tropidonophis mcdowelli,"Tropidonophis mcdowelli Malnate & Underwood, 1988",2454000,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidonophis,Tropidonophis mcdowelli,Tropidonophis mcdowelli,"Malnate & Underwood, 1988",2454000,
