"occurrenceId","verbatimScientificName","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","usageKey","acceptedUsageKey"
NA,"Ludwigia peploides (Kunth) P.H.Raven","Ludwigia peploides (Kunth) P.H.Raven",5420991,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","Ludwigia peploides","(Kunth) P.H.Raven",5420991,5420991
NA,"Lygodium japonicum (Thunb.) Sw.","Lygodium japonicum (Thunb.) Sw.",2650436,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Schizaeales","Lygodiaceae","Lygodium","Lygodium japonicum","Lygodium japonicum","(Thunb.) Sw.",2650436,2650436
NA,"Lysichiton americanus Hultén & St.John","Lysichiton americanus Hultén & H.St.John",2869311,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Lysichiton","Lysichiton americanus","Lysichiton americanus","Hultén & H.St.John",2869311,2869311
NA,"Microstegium vimineum (Trin.) A.Camus","Microstegium vimineum (Trin.) A.Camus",5289808,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Microstegium","Microstegium vimineum","Microstegium vimineum","(Trin.) A.Camus",5289808,5289808
NA,"Morone americana (Gmelin, 1789)","Morone americana (Gmelin, 1789)",2394604,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","","Perciformes","Moronidae","Morone","Morone americana","Morone americana","(Gmelin, 1789) ",2394604,2394604
NA,"Muntiacus reevesi (Ogilby, 1839)","Muntiacus reevesi (Ogilby, 1839)",2440946,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Muntiacus","Muntiacus reevesi","Muntiacus reevesi","(Ogilby, 1839) ",2440946,2440946
NA,"Myocastor coypus (Molina, 1782)","Myocastor coypus (Molina, 1782)",4264680,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Myocastoridae","Myocastor","Myocastor coypus","Myocastor coypus","(Molina, 1782) ",4264680,4264680
NA,"Myriophyllum aquaticum (Vell.) Verdc.","Myriophyllum aquaticum (Vell.) Verdc.",5361785,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum aquaticum","Myriophyllum aquaticum","(Vell.) Verdc.",5361785,5361785
NA,"Myriophyllum heterophyllum Michaux","Myriophyllum heterophyllum Michx.",5361762,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum heterophyllum","Myriophyllum heterophyllum","Michx.",5361762,5361762
NA,"Nasua nasua (Linnaeus, 1766)","Nasua nasua (Linnaeus, 1766)",2433536,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Nasua","Nasua nasua","Nasua nasua","(Linnaeus, 1766) ",2433536,2433536
NA,"Neltuma juliflora (Sw.) Raf.","Prosopis juliflora (Sw.) DC.",2970805,"EXACT",100,"SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Prosopis","Prosopis juliflora","Neltuma juliflora","(Sw.) Raf.",2970805,5358460
NA,"Nyctereutes procyonoides (Gray, 1834)","Nyctereutes procyonoides (Gray, 1834)",2434552,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Canidae","Nyctereutes","Nyctereutes procyonoides","Nyctereutes procyonoides","(Gray, 1834) ",2434552,2434552
NA,"Ondatra zibethicus (Linnaeus, 1766)","Ondatra zibethicus (Linnaeus, 1766)",5219858,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Ondatra","Ondatra zibethicus","Ondatra zibethicus","(Linnaeus, 1766) ",5219858,5219858
NA,"Oxyura jamaicensis (Gmelin, 1789)","Oxyura jamaicensis (J.F.Gmelin, 1789)",2498305,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura","Oxyura jamaicensis","Oxyura jamaicensis","(J.F.Gmelin, 1789) ",2498305,2498305
NA,"Pacifastacus leniusculus (Dana, 1852)","Pacifastacus leniusculus (Dana, 1852)",2226990,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Astacidae","Pacifastacus","Pacifastacus leniusculus","Pacifastacus leniusculus","(Dana, 1852) ",2226990,2226990
NA,"Parthenium hysterophorus L.","Parthenium hysterophorus L.",3086784,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Parthenium","Parthenium hysterophorus","Parthenium hysterophorus","L.",3086784,3086784
NA,"Perccottus glenii Dybowski, 1877","Perccottus glenii Dybowski, 1877",2390064,"EXACT",100,"ACCEPTED","SPECIES","Animalia","Chordata","","Perciformes","Odontobutidae","Perccottus","Perccottus glenii","Perccottus glenii","Dybowski, 1877",2390064,2390064
