occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Solenopsis invicta Buren, 1972","Solenopsis invicta Buren, 1972",5035230,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis invicta,Solenopsis invicta,"Buren, 1972",5035230,
,"Solenopsis richteri Forel, 1909","Solenopsis richteri Forel, 1909",5035017,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis richteri,Solenopsis richteri,"Forel, 1909",5035017,
,"Tamias sibiricus (Laxmann, 1769)","Tamias sibiricus (Laxmann, 1769)",2437450,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Tamias,Tamias sibiricus,Tamias sibiricus,"(Laxmann, 1769) ",2437450,
,"Threskiornis aethiopicus (Latham, 1790)","Threskiornis aethiopicus (Latham, 1790)",2480764,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,Threskiornis aethiopicus,Threskiornis aethiopicus,"(Latham, 1790) ",2480764,
,"Trachemys scripta (Schoepff, 1792)","Trachemys scripta (Thunberg In Schoepff, 1792)",2443002,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Testudines,,Emydidae,Trachemys,Trachemys scripta,Trachemys scripta,"(Thunberg In Schoepff, 1792) ",2443002,
,Triadica sebifera (L.) Small,Triadica sebifera (L.) Small,3054399,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Triadica,Triadica sebifera,Triadica sebifera,(L.) Small,3054399,
,"Urva auropunctata (Hodgson, 1836)","Herpestes javanicus subsp. auropunctatus (Hodgson, 1836)",10504616,EXACT,99,SYNONYM,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,Herpestes javanicus,Urva auropunctata,"(Hodgson, 1836) ",10504616,6164088
,"Vespa velutina nigrithorax du Buysson, 1905","Vespa velutina nigrithorax Buysson, 1905",6247411,EXACT,100,ACCEPTED,SUBSPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespa,Vespa velutina,Vespa velutina nigrithorax,"Buysson, 1905",6247411,
,"Wasmannia auropunctata (Roger, 1863)","Wasmannia auropunctata (Roger, 1863)",1315391,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Wasmannia,Wasmannia auropunctata,Wasmannia auropunctata,"(Roger, 1863) ",1315391,
,"Xenopus laevis (Daudin, 1802)","Xenopus laevis (Daudin, 1802)",5217334,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,Xenopus laevis,"(Daudin, 1802) ",5217334,
